Date : 2022-10-29 16:30:10
Directory : /Users/user/init/10k1day/1029
Total : 158 files,  -2001 codes, -568 comments, -227 blanks, all -2796 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Markdown |          2 |          0 |          0 |          0 |          0 |
| Solidity |        156 |     -2,001 |       -568 |       -227 |     -2,796 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
| /Users/user/init/10k1day/1029/1700/sol.sol                                              | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/1029/1800/sol.sol                                              | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/1029/1900/sol.sol                                              | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/1029/2000/sol.sol                                              | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/1029/2100/sol.sol                                              | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/1029/2200/sol.sol                                              | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/1029/2300/sol.sol                                              | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/1029/800/sol.sol                                               | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/1029/900/LilENS.sol                                            | Solidity |         14 |         14 |          9 |         37 |
| /Users/user/init/10k1day/1029/900/sol.sol                                               | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/1029/行数.md                                                     | Markdown |         16 |          0 |          0 |         16 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1000/ILendingPoolAddressesProvider.sol   | Solidity |        -25 |        -22 |         -2 |        -49 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1000/sol.sol                             | Solidity |          0 |          0 |         -1 |         -1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/ICEther.sol                         | Solidity |        -14 |        -11 |         -2 |        -27 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/ICToken.sol                         | Solidity |        -21 |        -18 |         -2 |        -41 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/IComptroller.sol                    | Solidity |        -22 |        -19 |         -2 |        -43 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/ICurveFiCurve.sol                   | Solidity |        -28 |        -25 |         -2 |        -55 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/ICurveFiPoolToken.sol               | Solidity |        -16 |        -13 |         -1 |        -30 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/ICurveFiZap.sol                     | Solidity |        -13 |        -10 |         -3 |        -26 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/IDepot.sol                          | Solidity |        -16 |        -13 |         -2 |        -31 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/ILendingPool.sol                    | Solidity |        -61 |        -15 |         -2 |        -78 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/ISynth.sol                          | Solidity |         -8 |         -5 |         -2 |        -15 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/ISynthetix.sol                      | Solidity |        -29 |        -27 |         -2 |        -58 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/KyberNetworkProxyInterface.sol      | Solidity |        -16 |        -12 |         -5 |        -33 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/sol.sol                             | Solidity |          0 |          0 |         -1 |         -1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1200/IMedianizer.sol                     | Solidity |        -22 |        -19 |         -2 |        -43 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1200/ISoloMargin.sol                     | Solidity |        -58 |        -54 |         -3 |       -115 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1200/IUniswapExchange.sol                | Solidity |        -12 |        -10 |         -2 |        -24 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1200/IUniswapFactory.sol                 | Solidity |         -8 |         -5 |         -2 |        -15 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1200/IUniswapV2Factory.sol               | Solidity |         -9 |         -6 |         -2 |        -17 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1200/IUniswapV2Pair.sol                  | Solidity |        -29 |        -26 |         -2 |        -57 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1200/IUniswapV2Router01.sol              | Solidity |        -22 |        -19 |         -2 |        -43 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1200/Masset.sol                          | Solidity |        -11 |         -8 |         -2 |        -21 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1200/StakingRewardsWithPlatformToken.sol | Solidity |        -12 |         -9 |         -2 |        -23 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1200/sol.sol                             | Solidity |          0 |          0 |         -1 |         -1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1300/AbiDecode.sol                       | Solidity |        -14 |         -3 |         -5 |        -22 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1300/BiDirectionalPaymentChannel.sol     | Solidity |        -81 |        -10 |        -16 |       -107 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1300/Bitwise.sol                         | Solidity |        -46 |        -12 |         -9 |        -67 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1300/IDss.sol                            | Solidity |       -172 |       -138 |         -6 |       -316 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1300/sol.sol                             | Solidity |          0 |          0 |         -1 |         -1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1400/CPAMM.sol                           | Solidity |       -151 |        -16 |        -26 |       -193 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1400/CSAMM.sol                           | Solidity |        -83 |        -16 |        -14 |       -113 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1400/CrowFund.sol                        | Solidity |       -122 |        -18 |        -17 |       -157 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1400/DutchAuction.sol                    | Solidity |        -39 |         -6 |        -10 |        -55 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1400/EnglishAuction.sol                  | Solidity |        -59 |        -12 |        -14 |        -85 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1400/MultiDelegatecall.sol               | Solidity |        -20 |         -3 |         -5 |        -28 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1400/Signature.sol                       | Solidity |        -38 |         -9 |         -2 |        -49 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1400/UniDirectionalPaymentChannel.sol    | Solidity |        -42 |        -11 |        -15 |        -68 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1400/sol.sol                             | Solidity |          0 |          0 |         -1 |         -1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1500/ERC721.sol                          | Solidity |        -64 |        -30 |        -12 |       -106 |
