"filename", "language", "Rust", "Markdown", "TOML", "JSON", "JavaScript React", "JavaScript", "Solidity", "comment", "blank", "total"
"/Users/user/init/myApp/1day10k/1209/example/rs/express.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/myApp/1day10k/1209/example/rs/statement.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/myApp/1day10k/1209/example/sol/express.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/myApp/1day10k/1209/example/sol/statement.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/myApp/1day10k/1209/example/test/example.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/myApp/1day10k/1209/example/test/example.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/myApp/1day10k/1209/line.md", "Markdown", 0, 16, 0, 0, 0, 0, 0, 0, 0, 16
"/Users/user/init/myApp/1day10k/1209/machine/vendingmachine.rs", "Rust", 27, 0, 0, 0, 0, 0, 0, 0, 8, 35
"/Users/user/init/myApp/1day10k/1209/machine/washMachine.rs", "Rust", 46, 0, 0, 0, 0, 0, 0, 0, 17, 63
"/Users/user/init/myApp/1day10k/1209/shopService/bookOff.rs", "Rust", 34, 0, 0, 0, 0, 0, 0, 0, 9, 43
"/Users/user/init/myApp/1day10k/1209/shopService/ginkou.rs", "Rust", 73, 0, 0, 0, 0, 0, 0, 0, 9, 82
"/Users/user/init/myApp/1day10k/1209/thing/chair/chair.jsx", "JavaScript React", 0, 0, 0, 0, 17, 0, 0, 1, 7, 25
"/Users/user/init/myApp/1day10k/1209/thing/chair/chair.rs", "Rust", 11, 0, 0, 0, 0, 0, 0, 0, 10, 21
"/Users/user/init/myApp/1day10k/1209/thing/express.rs", "Rust", 85, 0, 0, 0, 0, 0, 0, 0, 34, 119
"Total", "-", 350, 16, 9, 3, -65, -56, -259, -19, -35, -56
