Date : 2022-10-29 10:32:40
Directory : /Users/user/init/10k1day/202210/1021-1031/1028
Total : 132 files,  1602 codes, 1012 comments, 46 blanks, all 2660 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Solidity |        131 |      1,586 |      1,012 |         46 |      2,644 |
| Markdown |          1 |         16 |          0 |          0 |         16 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
| /Users/user/init/10k1day/202210/1021-1031/1025/900/erc20.sol                            | Solidity |        -39 |          0 |         -8 |        -47 |
| /Users/user/init/10k1day/202210/1021-1031/1025/900/erc721.sol                           | Solidity |        -11 |          0 |         -5 |        -16 |
| /Users/user/init/10k1day/202210/1021-1031/1025/900/stakingRewards.sol                   | Solidity |        -94 |         -1 |        -29 |       -124 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1000/ILendingPoolAddressesProvider.sol   | Solidity |         25 |         22 |          2 |         49 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1000/sol.sol                             | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/ICEther.sol                         | Solidity |         14 |         11 |          2 |         27 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/ICToken.sol                         | Solidity |         21 |         18 |          2 |         41 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/IComptroller.sol                    | Solidity |         22 |         19 |          2 |         43 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/ICurveFiCurve.sol                   | Solidity |         28 |         25 |          2 |         55 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/ICurveFiPoolToken.sol               | Solidity |         16 |         13 |          1 |         30 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/ICurveFiZap.sol                     | Solidity |         13 |         10 |          3 |         26 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/IDepot.sol                          | Solidity |         16 |         13 |          2 |         31 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/ILendingPool.sol                    | Solidity |         61 |         15 |          2 |         78 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/ISynth.sol                          | Solidity |          8 |          5 |          2 |         15 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/ISynthetix.sol                      | Solidity |         29 |         27 |          2 |         58 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/KyberNetworkProxyInterface.sol      | Solidity |         16 |         12 |          5 |         33 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1100/sol.sol                             | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1200/IMedianizer.sol                     | Solidity |         22 |         19 |          2 |         43 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1200/ISoloMargin.sol                     | Solidity |         58 |         54 |          3 |        115 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1200/IUniswapExchange.sol                | Solidity |         12 |         10 |          2 |         24 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1200/IUniswapFactory.sol                 | Solidity |          8 |          5 |          2 |         15 |
| /Users/user/init/10k1day/202210/1021-1031/1028/1200/IUniswapV2Factory.sol               | Solidity |          9 |          6 |          2 |         17 |
